,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,deposit
31,60,technician,married,1,0,65,1,0,unknown,5,1028,2,100000,0,unknown,1
32,26,blue-collar,single,2,0,82,1,0,unknown,5,654,1,100000,0,unknown,1
33,40,blue-collar,married,2,0,10,1,0,unknown,5,1692,2,100000,0,unknown,1
34,33,blue-collar,divorced,1,0,390,1,0,unknown,5,665,2,100000,0,unknown,1
35,32,management,single,3,0,311,0,0,unknown,5,757,2,100000,0,unknown,1
36,35,blue-collar,married,1,0,414,0,0,unknown,5,504,4,100000,0,unknown,1
37,33,management,divorced,2,0,5,1,0,unknown,5,1346,1,100000,0,unknown,1
38,38,management,married,3,0,119,1,0,unknown,5,568,4,100000,0,unknown,1
39,23,entrepreneur,single,1,0,4,1,0,unknown,5,395,2,100000,0,unknown,1
40,60,blue-collar,married,1,0,1262,1,1,unknown,5,1015,1,100000,0,unknown,1
41,48,management,married,3,0,1949,1,0,unknown,5,683,2,100000,0,unknown,1
42,45,entrepreneur,divorced,3,0,-395,1,0,unknown,5,470,1,100000,0,unknown,1
43,36,blue-collar,married,2,0,1165,1,0,unknown,5,1001,4,100000,0,unknown,1
44,52,management,married,4,0,2240,1,0,unknown,5,845,1,100000,0,unknown,1
45,35,blue-collar,divorced,1,0,300,1,0,unknown,5,945,2,100000,0,unknown,1
46,43,technician,married,2,0,3285,1,0,unknown,5,1721,2,100000,0,unknown,1
47,52,services,married,2,0,3923,1,0,unknown,5,942,3,100000,0,unknown,1
48,53,technician,divorced,1,0,1443,1,0,unknown,5,476,1,100000,0,unknown,1
49,48,blue-collar,divorced,1,0,24,1,0,unknown,5,832,1,100000,0,unknown,1
50,41,blue-collar,single,1,0,1618,1,0,unknown,5,1553,1,100000,0,unknown,1
51,39,management,divorced,3,0,517,1,1,unknown,5,1328,1,100000,0,unknown,1
52,59,retired,married,2,0,1521,1,1,unknown,5,1125,2,100000,0,unknown,1
53,41,blue-collar,married,2,0,2823,1,0,unknown,5,858,1,100000,0,unknown,1
54,48,blue-collar,married,2,0,1405,1,0,unknown,5,629,2,100000,0,unknown,1
55,40,management,married,2,0,1535,1,0,unknown,5,704,1,100000,0,unknown,1
56,48,blue-collar,married,2,0,1596,1,0,unknown,5,760,1,100000,0,unknown,1
57,60,retired,married,1,0,1542,1,0,unknown,5,930,1,100000,0,unknown,1
58,40,technician,single,4,0,3652,1,0,unknown,5,1028,2,100000,0,unknown,1
59,57,technician,married,3,0,-1,0,0,unknown,5,850,2,100000,0,unknown,1
60,51,blue-collar,married,2,0,7180,1,0,unknown,5,927,1,100000,0,unknown,1
61,41,blue-collar,divorced,2,0,5291,1,0,unknown,5,1423,3,100000,0,unknown,1
62,41,blue-collar,married,2,0,1384,1,0,unknown,5,1162,4,100000,0,unknown,1
63,52,blue-collar,divorced,1,0,-191,1,0,unknown,5,755,1,100000,0,unknown,1
64,59,blue-collar,married,1,0,320,1,0,unknown,5,695,1,100000,0,unknown,1
65,44,blue-collar,married,4,0,146,1,0,unknown,5,483,1,100000,0,unknown,1
66,49,other,married,1,0,341,1,1,unknown,5,520,2,100000,0,unknown,1
67,40,services,married,1,0,-9,1,0,unknown,5,920,2,100000,0,unknown,1
68,41,management,married,1,0,-306,1,0,unknown,5,500,1,100000,0,unknown,1
69,44,technician,married,3,0,4580,1,0,unknown,5,911,2,100000,0,unknown,1
70,60,services,single,1,0,313,1,0,unknown,5,920,2,100000,0,unknown,1
71,29,management,married,3,0,10576,0,0,unknown,5,1224,2,100000,0,unknown,1
72,41,retired,divorced,1,0,-233,1,0,unknown,5,1156,2,100000,0,unknown,1
73,41,blue-collar,married,1,0,2453,1,0,unknown,5,1052,1,100000,0,unknown,1
74,42,technician,single,2,0,1364,1,0,unknown,5,1867,6,100000,0,unknown,1
75,36,services,single,4,0,281,1,0,unknown,5,515,1,100000,0,unknown,1
76,39,technician,married,3,0,94,1,1,unknown,5,813,1,100000,0,unknown,1
77,31,entrepreneur,single,3,0,144,1,0,unknown,5,676,1,100000,0,unknown,1
78,26,blue-collar,married,2,0,246,1,0,unknown,5,1143,3,100000,0,unknown,1
79,31,blue-collar,married,2,0,92,1,0,unknown,5,688,1,100000,0,unknown,1
80,29,management,single,2,0,163,1,1,unknown,5,803,1,100000,0,unknown,1
81,37,services,divorced,2,0,49,1,0,unknown,5,619,2,100000,0,unknown,1
82,33,blue-collar,single,2,0,-416,1,0,unknown,5,767,2,100000,0,unknown,1
83,24,technician,single,2,0,409,1,0,unknown,5,912,1,100000,0,unknown,1
84,50,management,divorced,2,0,363,1,0,unknown,5,1340,1,100000,0,unknown,1
85,27,technician,single,3,0,3706,1,0,unknown,5,897,1,100000,0,unknown,1
86,54,management,single,3,0,4393,1,0,unknown,5,1297,3,100000,0,unknown,1
87,30,technician,single,2,0,863,1,0,unknown,5,1193,5,100000,0,unknown,1
88,34,blue-collar,married,1,0,695,1,1,unknown,5,1064,4,100000,0,unknown,1
89,37,management,single,2,0,792,1,0,unknown,5,1187,4,100000,0,unknown,1
90,41,management,single,2,0,1020,1,0,unknown,5,882,1,100000,0,unknown,1
91,47,blue-collar,married,2,0,863,1,0,unknown,5,943,2,100000,0,unknown,1
92,31,management,married,2,0,97,1,0,unknown,5,607,1,100000,0,unknown,1
93,31,blue-collar,married,2,0,754,1,0,unknown,5,1022,4,100000,0,unknown,1
94,43,services,divorced,2,0,1040,1,0,unknown,5,552,3,100000,0,unknown,1
95,37,management,divorced,3,0,122,1,0,unknown,5,1622,2,100000,0,unknown,1
96,30,technician,single,3,0,880,1,1,unknown,5,967,6,100000,0,unknown,1
97,41,technician,married,2,0,501,1,0,unknown,5,579,5,100000,0,unknown,1
98,36,blue-collar,married,2,0,4438,1,0,unknown,5,446,1,100000,0,unknown,1
99,35,blue-collar,divorced,2,0,0,1,0,unknown,5,1205,1,100000,0,unknown,1
100,29,services,single,2,0,271,1,0,unknown,5,1882,2,100000,0,unknown,1
101,35,blue-collar,married,1,0,102,1,0,unknown,5,1334,1,100000,0,unknown,1
102,31,blue-collar,married,2,0,2,1,0,unknown,5,182,2,100000,0,unknown,1
103,35,services,married,2,0,4170,1,0,unknown,5,1777,1,100000,0,unknown,1
104,34,technician,single,2,0,85,1,0,unknown,5,1182,4,100000,0,unknown,1
105,31,management,single,2,0,431,1,1,unknown,5,1045,1,100000,0,unknown,1
106,44,technician,divorced,2,0,982,1,0,unknown,5,650,3,100000,0,unknown,1
107,36,blue-collar,married,1,0,408,1,1,unknown,5,1063,2,100000,0,unknown,1
108,35,blue-collar,married,4,0,4822,1,0,unknown,5,843,2,100000,0,unknown,1
109,41,blue-collar,married,1,0,1250,1,0,unknown,5,1392,2,100000,0,unknown,1
110,31,blue-collar,single,1,0,216,1,0,unknown,5,565,1,100000,0,unknown,1
111,34,blue-collar,married,2,0,1207,1,0,unknown,5,905,1,100000,0,unknown,1
112,32,technician,married,2,0,791,1,0,unknown,5,783,2,100000,0,unknown,1
113,36,management,married,3,0,849,1,1,unknown,5,958,2,100000,0,unknown,1
114,30,blue-collar,single,2,1,239,1,0,unknown,5,412,1,100000,0,unknown,1
115,37,technician,single,2,0,1211,1,0,unknown,5,795,1,100000,0,unknown,1
116,36,blue-collar,married,1,0,599,1,0,unknown,5,649,2,100000,0,unknown,1
117,31,management,single,3,0,825,1,0,unknown,5,506,2,100000,0,unknown,1
118,27,technician,married,2,0,2183,1,1,unknown,5,857,1,100000,0,unknown,1
119,34,retired,married,1,0,4499,0,0,unknown,5,1681,1,100000,0,unknown,1
120,30,technician,single,3,0,1289,1,0,unknown,5,1697,2,100000,0,unknown,1
121,32,technician,single,3,0,4665,1,0,unknown,5,860,2,100000,0,unknown,1
122,37,technician,single,2,0,3326,1,0,unknown,5,799,1,100000,0,unknown,1
123,32,blue-collar,married,2,0,783,1,0,unknown,5,923,3,100000,0,unknown,1
124,33,blue-collar,married,2,0,0,1,0,unknown,5,521,3,100000,0,unknown,1
125,35,blue-collar,married,1,0,994,1,0,unknown,5,1349,8,100000,0,unknown,1
126,35,entrepreneur,divorced,3,0,1354,1,0,unknown,5,736,2,100000,0,unknown,1
127,30,blue-collar,single,2,0,239,1,0,unknown,5,785,1,100000,0,unknown,1
128,45,blue-collar,divorced,1,0,-311,1,0,unknown,5,1030,1,100000,0,unknown,1
129,45,management,married,2,0,149,1,0,unknown,5,893,3,100000,0,unknown,1
130,33,blue-collar,married,2,0,1464,1,0,unknown,5,588,3,100000,0,unknown,1
131,44,management,divorced,3,0,5773,0,0,unknown,5,597,6,100000,0,unknown,1
132,40,blue-collar,married,1,0,278,1,0,unknown,5,1015,3,100000,0,unknown,1
133,31,blue-collar,married,2,0,2910,1,0,unknown,5,1392,2,100000,0,unknown,1
134,30,technician,married,3,0,541,1,0,unknown,5,414,2,100000,0,unknown,1
135,44,technician,divorced,2,0,1262,1,0,unknown,5,788,11,100000,0,unknown,1
136,34,services,married,2,0,-538,1,0,unknown,5,682,1,100000,0,unknown,1
137,37,blue-collar,married,2,0,125,0,0,unknown,5,679,2,100000,0,unknown,1
138,28,entrepreneur,single,3,0,0,1,0,unknown,5,1560,2,100000,0,unknown,1
139,32,management,single,2,0,620,1,0,unknown,5,1234,3,100000,0,unknown,1
140,37,blue-collar,divorced,2,0,316,1,0,unknown,5,642,2,100000,0,unknown,1
141,34,management,married,3,0,2287,1,0,unknown,5,895,4,100000,0,unknown,1
142,38,management,divorced,2,0,198,1,0,unknown,5,431,2,100000,0,unknown,1
143,28,management,single,2,0,460,1,0,unknown,5,741,6,100000,0,unknown,1
144,31,management,divorced,3,0,1145,1,0,unknown,5,1272,4,100000,0,unknown,1
145,59,services,married,2,0,-22,1,0,unknown,5,748,3,100000,0,unknown,1
146,24,blue-collar,married,2,0,685,1,0,unknown,5,896,3,100000,0,unknown,1
147,26,services,single,2,0,901,1,0,unknown,5,764,2,100000,0,unknown,1
148,59,retired,single,2,0,351,1,0,unknown,5,1063,5,100000,0,unknown,1
149,30,entrepreneur,single,1,0,0,1,1,unknown,5,1051,1,100000,0,unknown,1
150,37,management,married,2,0,274,1,0,unknown,5,731,3,100000,0,unknown,1
151,30,management,single,2,0,-213,1,1,unknown,5,751,1,100000,0,unknown,1
152,25,blue-collar,married,2,0,97,1,0,unknown,5,709,1,100000,0,unknown,1
153,44,services,divorced,2,0,51,1,1,unknown,5,3094,2,100000,0,unknown,1
154,29,management,married,3,0,314,0,0,unknown,5,938,2,100000,0,unknown,1
155,26,management,single,3,0,6840,1,0,unknown,5,1560,2,100000,0,unknown,1
156,26,technician,single,2,0,668,1,0,unknown,5,576,3,100000,0,unknown,1
157,27,services,single,2,0,54,1,0,unknown,5,543,2,100000,0,unknown,1
158,25,entrepreneur,single,2,0,1242,1,0,unknown,5,615,2,100000,0,unknown,1
159,28,management,married,2,0,292,1,0,unknown,5,507,1,100000,0,unknown,1
160,23,services,single,2,0,665,1,0,unknown,5,1183,1,100000,0,unknown,1
161,34,management,single,3,0,1058,1,0,unknown,5,864,2,100000,0,unknown,1
162,28,other,single,2,0,949,1,0,unknown,5,1730,1,100000,0,unknown,1
163,51,entrepreneur,married,4,0,606,1,0,unknown,5,560,9,100000,0,unknown,1
164,35,blue-collar,married,2,0,0,1,1,unknown,5,543,1,100000,0,unknown,1
165,35,management,married,2,0,404,1,0,unknown,5,539,1,100000,0,unknown,1
166,56,blue-collar,married,2,0,249,1,0,unknown,5,791,2,100000,0,unknown,1
167,45,other,divorced,2,0,3354,1,0,unknown,5,746,1,100000,0,unknown,1
168,60,blue-collar,divorced,2,0,0,1,0,unknown,5,1207,1,100000,0,unknown,1
169,56,technician,married,2,0,589,1,0,unknown,5,535,2,100000,0,unknown,1
170,27,management,single,3,0,12956,1,0,unknown,5,789,3,100000,0,unknown,1
171,30,management,married,2,0,873,1,0,unknown,5,792,3,100000,0,unknown,1
172,45,blue-collar,divorced,1,0,594,1,0,unknown,5,833,2,100000,0,unknown,1
173,29,blue-collar,single,2,0,-20,1,0,unknown,5,814,2,100000,0,unknown,1
174,38,management,divorced,3,0,4692,1,0,unknown,5,1363,2,100000,0,unknown,1
175,30,blue-collar,married,2,0,486,1,0,unknown,5,1109,3,100000,0,unknown,1
176,44,blue-collar,single,1,0,1593,1,0,unknown,5,828,3,100000,0,unknown,1
177,36,management,single,3,0,7606,1,0,unknown,5,917,1,100000,0,unknown,1
178,38,technician,married,2,0,226,1,0,unknown,5,762,3,100000,0,unknown,1
179,36,blue-collar,single,2,0,366,1,1,unknown,5,1133,2,100000,0,unknown,1
180,37,management,divorced,2,0,16,1,0,unknown,5,638,1,100000,0,unknown,1
181,35,management,single,3,0,565,1,0,unknown,5,763,1,100000,0,unknown,1
182,38,management,divorced,2,0,19,1,0,unknown,5,604,2,100000,0,unknown,1
183,40,services,married,1,0,1082,1,0,unknown,5,854,2,100000,0,unknown,1
184,42,other,divorced,2,0,1713,1,0,unknown,5,855,2,100000,0,unknown,1
185,46,management,divorced,3,0,14481,1,0,unknown,5,1269,1,100000,0,unknown,1
186,35,technician,divorced,2,0,5724,1,0,unknown,5,691,10,100000,0,unknown,1
187,34,technician,divorced,2,0,1451,1,0,unknown,5,1097,15,100000,0,unknown,1
188,32,services,married,2,0,-34,1,0,unknown,5,1236,2,100000,0,unknown,1
189,50,other,married,2,0,3674,1,0,unknown,5,886,3,100000,0,unknown,1
190,35,blue-collar,married,2,0,698,1,1,unknown,5,1343,3,100000,0,unknown,1
191,36,technician,single,2,0,4136,1,0,unknown,5,812,3,100000,0,unknown,1
192,53,blue-collar,divorced,1,0,2656,1,0,unknown,5,1980,2,100000,0,unknown,1
193,46,management,single,3,0,2904,1,0,unknown,5,984,2,100000,0,unknown,1
194,26,management,single,3,0,1004,1,0,unknown,5,228,2,100000,0,unknown,1
195,45,technician,single,2,0,410,1,0,unknown,5,891,4,100000,0,unknown,1
196,31,other,divorced,1,0,0,1,0,unknown,5,745,12,100000,0,unknown,1
197,29,management,single,3,0,0,1,0,unknown,5,539,12,100000,0,unknown,1
198,53,entrepreneur,single,2,0,62,1,0,unknown,5,1044,5,100000,0,unknown,1
199,27,blue-collar,married,1,0,416,1,0,unknown,5,1193,2,100000,0,unknown,1
200,39,management,married,3,0,2763,1,0,unknown,6,526,2,100000,0,unknown,1
201,36,services,married,2,0,2984,1,0,unknown,6,394,1,100000,0,unknown,1
202,41,blue-collar,married,1,0,143,1,1,unknown,6,659,2,100000,0,unknown,1
203,36,services,married,1,0,0,1,0,unknown,6,1036,1,100000,0,unknown,1
204,32,technician,married,2,0,696,1,0,unknown,6,815,1,100000,0,unknown,1
205,35,services,married,2,0,152,1,0,unknown,6,563,1,100000,0,unknown,1
206,36,management,single,3,0,-78,1,0,unknown,6,1068,1,100000,0,unknown,1
207,35,management,married,3,0,867,1,0,unknown,6,230,3,100000,0,unknown,1
208,30,blue-collar,single,2,0,953,1,0,unknown,6,747,2,100000,0,unknown,1
209,42,blue-collar,married,2,0,443,1,0,unknown,6,671,5,100000,0,unknown,1
210,42,technician,single,2,1,-1129,1,0,unknown,6,555,5,100000,0,unknown,1
211,32,blue-collar,married,1,0,415,1,0,unknown,6,777,4,100000,0,unknown,1
212,29,blue-collar,single,2,0,260,1,0,unknown,6,707,14,100000,0,unknown,1
213,44,management,divorced,3,1,-411,1,0,unknown,6,432,4,100000,0,unknown,1
214,32,technician,single,2,0,1279,1,0,unknown,6,1173,3,100000,0,unknown,1
215,31,other,married,2,0,86,1,1,unknown,6,963,2,100000,0,unknown,1
216,40,entrepreneur,married,2,1,-754,1,1,unknown,6,941,3,100000,0,unknown,1
217,43,entrepreneur,married,2,0,0,0,0,unknown,6,1025,7,100000,0,unknown,1
218,27,management,single,2,0,178,1,0,unknown,6,732,2,100000,0,unknown,1
219,37,services,single,2,0,278,1,0,unknown,6,1045,3,100000,0,unknown,1
220,23,services,single,2,0,425,1,0,unknown,6,768,1,100000,0,unknown,1
221,25,management,married,1,0,168,1,0,unknown,6,801,1,100000,0,unknown,1
222,26,blue-collar,single,2,1,-36,1,0,unknown,6,482,2,100000,0,unknown,1
223,47,blue-collar,divorced,1,0,126,1,0,unknown,6,2456,2,100000,0,unknown,1
224,35,management,married,2,0,-87,1,0,unknown,6,1363,7,100000,0,unknown,1
225,32,technician,single,3,0,6281,1,0,unknown,6,1336,4,100000,0,unknown,1
226,45,management,divorced,2,0,644,1,0,unknown,6,633,1,100000,0,unknown,1
227,30,management,divorced,2,0,377,1,0,unknown,6,524,15,100000,0,unknown,1
228,29,services,single,2,0,-271,1,0,unknown,6,578,1,100000,0,unknown,1
229,38,blue-collar,married,1,0,5839,1,0,unknown,6,984,2,100000,0,unknown,1
230,23,blue-collar,single,2,0,492,1,0,unknown,6,638,1,100000,0,unknown,1
231,27,management,single,3,0,99,1,0,unknown,6,767,2,100000,0,unknown,1
232,27,management,single,3,1,-713,1,0,unknown,6,525,2,100000,0,unknown,1
233,29,services,single,2,0,32,1,0,unknown,6,563,1,100000,0,unknown,1
234,30,entrepreneur,married,3,0,543,1,1,unknown,6,1449,6,100000,0,unknown,1
235,36,blue-collar,married,1,0,403,1,0,unknown,6,920,1,100000,0,unknown,1
236,35,management,divorced,2,0,437,1,0,unknown,6,908,1,100000,0,unknown,1
237,36,blue-collar,married,2,0,1772,0,0,unknown,6,208,1,100000,0,unknown,1
238,59,retired,divorced,1,0,-88,1,0,unknown,6,910,2,100000,0,unknown,1
239,47,entrepreneur,married,2,0,0,0,0,unknown,6,1446,1,100000,0,unknown,1
240,58,entrepreneur,married,3,0,853,0,0,unknown,6,1149,2,100000,0,unknown,1
241,37,management,single,3,0,240,0,0,unknown,6,1123,1,100000,0,unknown,1
242,46,management,single,2,0,849,1,0,unknown,6,508,2,100000,0,unknown,1
243,43,blue-collar,single,2,0,318,1,0,unknown,6,736,2,100000,0,unknown,1
244,27,management,single,3,0,703,1,0,unknown,6,590,3,100000,0,unknown,1
245,38,services,divorced,2,0,61,0,0,unknown,6,636,1,100000,0,unknown,1
246,53,services,married,1,0,104,0,1,unknown,6,701,1,100000,0,unknown,1
247,47,blue-collar,married,2,0,1996,0,0,unknown,6,761,2,100000,0,unknown,1
248,56,services,divorced,1,1,1238,0,0,unknown,6,1558,1,100000,0,unknown,1
249,41,services,married,2,0,879,0,0,unknown,6,1053,2,100000,0,unknown,1
250,29,entrepreneur,married,2,0,425,1,0,unknown,6,562,15,100000,0,unknown,1
251,50,technician,married,2,0,416,1,0,unknown,6,494,5,100000,0,unknown,1
252,45,blue-collar,divorced,1,0,844,0,0,unknown,6,1018,3,100000,0,unknown,1
253,35,blue-collar,married,2,0,860,1,0,unknown,6,884,4,100000,0,unknown,1
254,26,technician,single,2,0,639,1,0,unknown,6,709,5,100000,0,unknown,1
255,26,management,married,2,0,710,1,1,unknown,6,1276,2,100000,0,unknown,1
256,37,blue-collar,married,4,0,1508,0,1,unknown,6,381,2,100000,0,unknown,1
257,30,management,single,2,0,223,1,0,unknown,6,862,11,100000,0,unknown,1
258,38,management,single,3,0,619,1,0,unknown,6,460,4,100000,0,unknown,1
259,37,services,divorced,2,0,319,1,0,unknown,6,467,3,100000,0,unknown,1
260,53,technician,married,2,0,480,0,0,unknown,6,648,2,100000,0,unknown,1
261,29,blue-collar,single,1,0,213,1,0,unknown,6,2653,3,100000,0,unknown,1
262,35,management,single,3,0,68,0,0,unknown,6,1085,1,100000,0,unknown,1
263,28,blue-collar,married,2,0,2788,1,0,unknown,6,369,2,100000,0,unknown,1
264,55,blue-collar,married,4,0,7561,0,0,unknown,6,685,3,100000,0,unknown,1
265,49,management,divorced,2,0,-46,1,0,unknown,6,1055,10,100000,0,unknown,1
266,50,services,married,2,0,1595,0,0,unknown,6,882,1,100000,0,unknown,1
267,43,management,single,3,0,1046,0,0,unknown,6,901,1,100000,0,unknown,1
268,58,entrepreneur,divorced,3,0,1382,0,0,unknown,6,700,1,100000,0,unknown,1
269,38,technician,married,1,0,217,1,0,unknown,6,491,6,100000,0,unknown,1
270,48,blue-collar,divorced,1,0,183,0,0,unknown,6,940,1,100000,0,unknown,1
271,59,management,married,2,0,1321,0,0,unknown,6,3881,3,100000,0,unknown,1
272,58,blue-collar,married,2,0,25,0,0,unknown,6,486,3,100000,0,unknown,1
273,36,entrepreneur,single,3,0,4844,0,0,unknown,6,1137,3,100000,0,unknown,1
274,42,entrepreneur,married,3,0,5345,0,0,unknown,6,878,3,100000,0,unknown,1
275,41,management,single,2,0,812,0,1,unknown,6,583,4,100000,0,unknown,1
276,42,management,married,2,0,105,0,0,unknown,6,1159,4,100000,0,unknown,1
277,39,management,married,3,0,-190,0,1,unknown,6,893,8,100000,0,unknown,1
278,57,services,married,1,0,625,0,1,unknown,6,867,1,100000,0,unknown,1
279,52,retired,married,4,0,293,0,0,unknown,6,706,1,100000,0,unknown,1
280,59,retired,married,4,0,1033,0,0,unknown,6,1199,1,100000,0,unknown,1
281,56,blue-collar,married,2,0,1210,0,0,unknown,6,935,1,100000,0,unknown,1
282,49,management,married,3,0,64,0,0,unknown,6,586,1,100000,0,unknown,1
283,35,blue-collar,divorced,4,0,164,0,0,unknown,6,967,2,100000,0,unknown,1
284,36,other,married,2,0,1766,0,0,unknown,6,595,2,100000,0,unknown,1
285,40,management,single,3,0,1248,0,0,unknown,6,1290,2,100000,0,unknown,1
286,55,blue-collar,married,2,0,0,0,0,unknown,6,614,2,100000,0,unknown,1
287,58,management,married,2,0,826,0,0,unknown,6,885,1,100000,0,unknown,1
288,39,entrepreneur,married,3,0,2630,0,0,unknown,6,651,5,100000,0,unknown,1
289,47,services,single,3,0,3727,0,0,unknown,6,993,6,100000,0,unknown,1
290,40,management,married,2,0,406,1,0,unknown,6,577,2,100000,0,unknown,1
291,35,blue-collar,married,3,0,2999,0,0,unknown,6,1141,6,100000,0,unknown,1
292,48,blue-collar,married,2,0,1000,1,0,unknown,6,1268,2,100000,0,unknown,1
293,48,management,divorced,3,0,503,0,1,unknown,6,1243,7,100000,0,unknown,1
294,24,blue-collar,single,2,1,-203,1,0,unknown,6,465,3,100000,0,unknown,1
295,49,blue-collar,married,1,0,361,1,0,unknown,6,513,2,100000,0,unknown,1
296,36,blue-collar,married,2,0,274,1,0,unknown,6,686,11,100000,0,unknown,1
297,52,retired,divorced,3,0,3687,1,1,unknown,6,741,4,100000,0,unknown,1
298,42,entrepreneur,single,4,0,323,0,0,unknown,6,617,1,100000,0,unknown,1
299,36,services,married,2,0,981,0,0,unknown,6,1093,1,100000,0,unknown,1
300,36,blue-collar,divorced,2,0,638,1,0,unknown,6,1395,2,100000,0,unknown,1
301,48,other,single,3,0,3229,0,0,unknown,6,1089,1,100000,0,unknown,1
302,51,management,single,2,0,1610,1,0,unknown,6,1248,3,100000,0,unknown,1
303,51,blue-collar,married,2,0,33,0,1,unknown,6,721,3,100000,0,unknown,1
304,46,technician,married,2,0,536,1,0,unknown,6,750,2,100000,0,unknown,1
305,37,management,married,3,0,0,0,0,unknown,6,637,6,100000,0,unknown,1
306,36,entrepreneur,married,3,0,3057,0,0,unknown,6,2769,4,100000,0,unknown,1
307,47,management,married,2,0,2892,0,0,unknown,6,556,1,100000,0,unknown,1
308,40,technician,divorced,3,0,0,0,0,unknown,6,522,1,100000,0,unknown,1
309,38,other,single,3,0,3316,0,0,unknown,6,1345,3,100000,0,unknown,1
310,40,management,married,2,0,106,0,0,unknown,6,676,2,100000,0,unknown,1
311,39,blue-collar,married,1,0,2303,1,0,unknown,6,775,3,100000,0,unknown,1
312,60,management,married,3,0,3301,0,0,unknown,6,2621,3,100000,0,unknown,1
313,39,entrepreneur,single,3,0,426,0,0,unknown,6,1029,1,100000,0,unknown,1
314,51,services,divorced,2,0,9,0,0,unknown,6,371,2,100000,0,unknown,1
315,27,management,married,2,0,-97,1,0,unknown,6,1528,2,100000,0,unknown,1
316,41,management,single,3,0,11008,0,0,unknown,6,1540,1,100000,0,unknown,1
317,42,blue-collar,single,1,0,4930,0,0,unknown,6,973,1,100000,0,unknown,1
318,41,entrepreneur,married,2,0,707,0,0,unknown,6,707,1,100000,0,unknown,1
319,33,technician,married,2,0,4,1,1,unknown,6,625,2,100000,0,unknown,1
320,46,management,married,2,0,126,0,0,unknown,6,1255,1,100000,0,unknown,1
321,31,blue-collar,married,2,0,671,1,0,unknown,6,704,4,100000,0,unknown,1
322,41,blue-collar,married,1,0,219,0,1,unknown,6,1574,3,100000,0,unknown,1
323,41,blue-collar,divorced,2,0,3622,0,0,unknown,6,1135,4,100000,0,unknown,1
324,55,retired,divorced,2,0,1580,0,1,unknown,6,1007,1,100000,0,unknown,1
325,53,technician,married,2,0,1319,0,0,unknown,6,1318,3,100000,0,unknown,1
326,55,services,married,1,0,2152,0,0,unknown,6,922,2,100000,0,unknown,1
327,39,services,married,2,0,2843,1,0,unknown,6,585,1,100000,0,unknown,1
328,40,entrepreneur,married,3,1,0,0,0,unknown,6,952,4,100000,0,unknown,1
329,59,retired,married,1,0,1115,0,0,unknown,6,834,1,100000,0,unknown,1
330,42,blue-collar,single,2,0,625,0,0,unknown,6,651,3,100000,0,unknown,1
